*COMPTUB00000000*,
*COMPTUB00000001*,
*COMPTUB00000002*,
*COMPTUB00000003*,
*COMPTUB00000004*,
*COMPTUB00000005*,
*COMPTUB00000006*,
*COMPTUB00000007*,
*COMPTUB00000008*,
*COMPTUB00000009*,
*COMPTUB00000010*,
*COMPTUB00000011*,
*COMPTUB00000012*,
*COMPTUB00000013*,
*COMPTUB00000014*,
*COMPTUB00000015*,
*COMPTUB00000016*,
*COMPTUB00000017*,
*COMPTUB00000018*,
*COMPTUB00000019*,
*COMPTUB00000020*,
*COMPTUB00000021*,
*COMPTUB00000022*,
*COMPTUB00000023*,
*COMPTUB00000024*,
*COMPTUB00000025*,
*COMPTUB00000026*,
*COMPTUB00000027*,
*COMPTUB00000028*,
*COMPTUB00000029*,
*COMPTUB00000030*,
*COMPTUB00000031*,
*COMPTUB00000032*,
*COMPTUB00000033*,
*COMPTUB00000034*,
*COMPTUB00000035*,
*COMPTUB00000036*,
*COMPTUB00000037*,
*COMPTUB00000038*,
*COMPTUB00000039*,
*COMPTUB00000040*,
*COMPTUB00000041*,
*COMPTUB00000042*,
*COMPTUB00000043*,
*COMPTUB00000044*,
*COMPTUB00000045*,
*COMPTUB00000046*,
*COMPTUB00000047*,
*COMPTUB00000048*,
*COMPTUB00000049*,
*COMPTUB00000050*,
*COMPTUB00000051*,
*COMPTUB00000052*,
*COMPTUB00000053*,
*COMPTUB00000054*,
*COMPTUB00000055*,
*COMPTUB00000056*,
*COMPTUB00000057*,
*COMPTUB00000058*,
*COMPTUB00000059*,
*COMPTUB00000060*,
*COMPTUB00000061*,
*COMPTUB00000062*,
*COMPTUB00000063*,
*COMPTUB00000064*,
*COMPTUB00000065*,
*COMPTUB00000066*,
*COMPTUB00000067*,
*COMPTUB00000068*,
*COMPTUB00000069*,
*COMPTUB00000070*,
*COMPTUB00000071*,
*COMPTUB00000072*,
*COMPTUB00000073*,
*COMPTUB00000074*,
*COMPTUB00000075*,
*COMPTUB00000076*,
*COMPTUB00000077*,
*COMPTUB00000078*,
*COMPTUB00000079*,
*COMPTUB00000080*,
*COMPTUB00000081*,
*COMPTUB00000082*,
*COMPTUB00000083*,
*COMPTUB00000084*,
*COMPTUB00000085*,
*COMPTUB00000086*,
*COMPTUB00000087*,
*COMPTUB00000088*,
*COMPTUB00000089*,
*COMPTUB00000090*,
*COMPTUB00000091*,
*COMPTUB00000092*,
*COMPTUB00000093*,
*COMPTUB00000094*,
*COMPTUB00000095*,
*COMPTUB00000096*,
*COMPTUB00000097*,
*COMPTUB00000098*,
*COMPTUB00000099*,
